город	школа
 Санкт-Петербург;г. Санкт-Петербург;	 ФМЛ №30;ГОУ лицей 30 ФМЛ;
 	 
 	 
 Нижний Новгород;	 Школа №187;
 Белгород;	 9;
 	 
 Пенза;	 53;
 	 
 Москва ;	 1551;
 2;	 
 Тамбов;	 МАОУ лицей №14 им. А.М. Кузьмина;
 	 
 Самара;	 Самарский лицей информационных технологий;
 	 
 	 
 Пермь;	 Школа №9 им. А.С.Пушкина c углублённым изучением предметов физико-математического цикла;
 Москва;г. Москва;	 ГБОУ СОШ №2086;ГБОУ СОШ № 2086;
 Москва;Москва ;	 57;
 	 
 	 
